date,open,close,Name
2015-11-27,105.78,105.45,FB
2015-11-30,105.84,104.24,FB
2015-12-01,104.83,107.12,FB
2015-12-02,107.0,106.07,FB
2015-12-03,106.27,104.38,FB
2015-12-04,104.81,106.18,FB
2015-12-07,106.48,105.61,FB
2015-12-08,104.0,106.49,FB
2015-12-09,106.18,104.6,FB
2015-12-10,105.05,105.42,FB
2015-12-11,104.15,102.12,FB
2015-12-14,102.285,104.66,FB
2015-12-15,105.3,104.55,FB
2015-12-16,105.37,106.79,FB
2015-12-17,107.49,106.22,FB
2015-12-18,106.08,104.04,FB
2015-12-21,104.91,104.77,FB
2015-12-22,105.22,105.51,FB
2015-12-23,105.89,104.63,FB
2015-12-24,104.74,105.02,FB
2015-12-28,105.02,105.93,FB
2015-12-29,106.42,107.26,FB
2015-12-30,107.0,106.22,FB
2015-12-31,106.0,104.66,FB
2016-01-04,101.95,102.22,FB
2016-01-05,102.89,102.73,FB
2016-01-06,101.13,102.97,FB
2016-01-07,100.5,97.92,FB
2016-01-08,99.88,97.33,FB
2016-01-11,97.91,97.51,FB
2016-01-12,99.0,99.37,FB
2016-01-13,100.58,95.44,FB
2016-01-14,95.85,98.37,FB
2016-01-15,93.98,94.97,FB
2016-01-19,96.53,95.26,FB
2016-01-20,92.83,94.35,FB
2016-01-21,94.91,94.16,FB
2016-01-22,96.41,97.94,FB
2016-01-25,98.72,97.01,FB
2016-01-26,97.76,97.34,FB
2016-01-27,97.79,94.45,FB
2016-01-28,107.2,109.11,FB
2016-01-29,108.99,112.21,FB
2016-02-01,112.27,115.09,FB
2016-02-02,114.8,114.61,FB
2016-02-03,115.27,112.69,FB
2016-02-04,111.8,110.49,FB
2016-02-05,109.51,104.07,FB
2016-02-08,100.41,99.75,FB
2016-02-09,97.14,99.54,FB
2016-02-10,101.55,101.0,FB
2016-02-11,99.6,101.91,FB
2016-02-12,103.74,102.01,FB
2016-02-16,103.8,101.61,FB
2016-02-17,101.94,105.2,FB
2016-02-18,105.8,103.47,FB
2016-02-19,102.55,104.57,FB
2016-02-22,105.49,107.16,FB
2016-02-23,106.85,105.46,FB
2016-02-24,104.21,106.88,FB
2016-02-25,107.11,108.07,FB
2016-02-26,108.7,107.92,FB
2016-02-29,107.6,106.92,FB
2016-03-01,107.83,109.82,FB
